Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Johnny Davis,SG,20,WAS,13,0,4.8,0.5,1.4,.333,0.1,0.3,.250,0.4,1.1,.357,.361,0.2,0.2,1.000,0.1,0.5,0.6,0.2,0.1,0.1,0.2,1.0,1.2
Terence Davis,SG,25,SAC,47,4,13.9,2.6,5.9,.446,1.4,3.8,.382,1.2,2.1,.561,.569,0.7,0.7,.886,0.4,2.0,2.4,1.3,0.8,0.3,0.9,1.9,7.3
JD Davison,PG,20,BOS,6,0,2.3,0.3,1.3,.250,0.0,0.5,.000,0.3,0.8,.400,.250,0.0,0.0,,0.0,0.3,0.3,0.2,0.2,0.0,0.2,0.0,0.7
Darius Days,PF,23,HOU,4,0,6.3,1.3,3.0,.417,0.8,2.5,.300,0.5,0.5,1.000,.542,0.5,0.5,1.000,0.3,1.3,1.5,0.3,0.0,0.3,0.0,0.5,3.8
Dewayne Dedmon,C,33,MIA,30,0,11.7,2.1,4.3,.496,0.4,1.2,.297,1.8,3.1,.576,.539,1.1,1.5,.727,0.9,2.7,3.6,0.5,0.2,0.5,0.6,2.0,5.7
Matthew Dellavedova,PG,32,SAC,25,0,5.9,0.5,1.3,.364,0.2,0.6,.375,0.2,0.7,.353,.455,0.1,0.2,.600,0.0,0.3,0.4,1.3,0.2,0.0,0.3,0.6,1.3
DeMar DeRozan,SF,33,CHI,55,55,36.1,9.1,17.9,.510,0.5,1.6,.307,8.7,16.3,.529,.523,6.5,7.4,.881,0.4,4.2,4.6,5.1,1.0,0.5,2.2,2.7,25.3
Moussa Diabaté,PF,21,LAC,18,1,9.6,1.2,2.2,.525,0.1,0.1,.500,1.1,2.1,.526,.538,0.6,0.9,.625,1.6,0.9,2.5,0.2,0.3,0.3,0.5,0.7,2.9
Mamadi Diakite,PF,26,CLE,16,2,6.1,0.7,1.6,.423,0.3,0.9,.267,0.4,0.7,.636,.500,0.0,0.0,,0.2,0.6,0.8,0.1,0.1,0.4,0.4,0.8,1.6
Hamidou Diallo,SG,24,DET,53,0,17.2,3.7,6.4,.581,0.1,0.4,.263,3.6,6.0,.600,.588,1.5,2.6,.591,1.0,2.4,3.4,0.9,1.0,0.3,1.2,2.2,9.1
Gorgui Dieng,C,33,SAS,21,1,9.6,1.1,3.0,.387,0.6,2.0,.279,0.6,0.9,.632,.484,0.2,0.3,.833,0.9,1.8,2.6,1.4,0.1,0.3,0.8,1.4,3.1
Ousmane Dieng,SF,19,OKC,19,0,14.9,1.7,4.1,.416,0.7,2.4,.289,1.0,1.7,.594,.500,0.1,0.3,.400,0.4,2.2,2.6,1.4,0.3,0.3,0.6,1.2,4.2
Spencer Dinwiddie,PG,29,TOT,59,59,34.1,5.8,13.0,.448,2.5,6.4,.394,3.3,6.6,.500,.544,3.3,4.0,.828,0.3,2.8,3.2,5.3,0.8,0.3,1.7,2.4,17.5
Spencer Dinwiddie,PG,29,DAL,53,53,34.1,6.0,13.1,.455,2.6,6.4,.405,3.4,6.7,.504,.555,3.2,3.9,.821,0.4,2.7,3.1,5.3,0.7,0.3,1.7,2.3,17.7
Spencer Dinwiddie,PG,29,BRK,6,6,34.0,4.7,12.3,.378,1.7,5.8,.286,3.0,6.5,.462,.446,4.5,5.2,.871,0.2,3.7,3.8,5.7,1.0,0.0,2.0,2.5,15.5
Donte DiVincenzo,SG,26,GSW,51,16,25.6,3.2,7.3,.436,2.1,5.1,.416,1.1,2.2,.482,.582,0.7,0.9,.818,0.9,3.3,4.2,3.3,1.4,0.1,1.5,1.8,9.2
Luka Dončić,PG,23,DAL,52,52,36.4,11.2,22.1,.504,2.7,7.8,.350,8.4,14.3,.589,.566,8.0,11.0,.732,0.9,7.9,8.8,8.1,1.5,0.5,3.7,2.6,33.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyler Dorsey,SG,26,DAL,3,0,2.7,1.3,1.7,.800,0.3,0.7,.500,1.0,1.0,1.000,.900,0.0,0.0,,0.3,0.3,0.7,0.0,0.0,0.0,0.0,0.0,3.0
Luguentz Dort,SG,23,OKC,53,52,30.2,4.8,11.8,.406,1.9,5.4,.349,2.9,6.5,.453,.485,2.6,3.5,.760,1.5,2.9,4.4,2.2,1.0,0.3,1.3,3.2,14.1
Ayo Dosunmu,SG,23,CHI,59,49,28.3,3.8,7.7,.494,0.8,2.6,.318,3.0,5.1,.583,.547,0.9,1.1,.806,0.7,2.4,3.1,2.8,0.7,0.3,1.4,2.5,9.3
Devon Dotson,PG,23,WAS,6,0,8.8,0.2,1.7,.100,0.2,0.7,.250,0.0,1.0,.000,.150,0.0,0.0,,1.0,0.7,1.7,1.3,0.8,0.0,0.5,1.5,0.5
Jeff Dowtin,PG,25,TOR,18,0,8.8,1.1,2.4,.442,0.2,0.6,.273,0.9,1.8,.500,.477,0.2,0.2,.750,0.3,0.6,0.9,0.9,0.2,0.1,0.3,0.6,2.4
PJ Dozier,SG,26,SAC,4,0,2.5,0.5,0.8,.667,0.3,0.5,.500,0.3,0.3,1.000,.833,0.0,0.0,,0.0,0.5,0.5,0.0,0.8,0.0,0.0,0.0,1.3
Goran Dragić,PG,36,CHI,51,0,15.4,2.5,5.9,.425,0.9,2.5,.352,1.6,3.4,.480,.500,0.5,0.8,.659,0.3,1.1,1.4,2.7,0.2,0.1,1.1,1.2,6.4
Andre Drummond,C,29,CHI,48,0,13.0,2.7,4.4,.624,0.0,0.0,.000,2.7,4.3,.630,.624,1.0,1.9,.522,2.2,4.5,6.7,0.6,0.7,0.3,1.1,1.9,6.5
Chris Duarte,SF,25,IND,38,10,19.1,2.6,7.2,.364,1.1,3.8,.301,1.5,3.4,.434,.443,1.5,1.8,.836,0.4,2.1,2.4,1.4,0.5,0.2,0.9,1.5,7.8
David Duke Jr.,SG,23,BRK,16,0,8.8,1.3,3.0,.438,0.0,0.4,.000,1.3,2.6,.500,.438,0.3,0.5,.500,0.4,0.6,0.9,0.8,0.4,0.1,0.8,1.6,2.9
Kris Dunn,PG,28,UTA,2,0,20.0,6.0,11.5,.522,1.0,3.5,.286,5.0,8.0,.625,.565,0.0,1.0,.000,1.5,2.5,4.0,4.5,1.5,0.5,0.5,3.0,13.0
Kevin Durant,PF,34,BRK,39,39,36.0,10.5,18.8,.559,1.8,4.8,.376,8.7,14.0,.622,.607,6.8,7.3,.934,0.4,6.4,6.7,5.3,0.8,1.5,3.5,2.4,29.7
Jalen Duren,C,19,DET,52,27,25.1,3.6,5.6,.645,0.0,0.0,.000,3.6,5.6,.647,.645,1.3,2.2,.611,3.3,5.4,8.7,1.1,0.6,0.9,1.2,2.7,8.5
Tari Eason,PF,21,HOU,60,3,19.6,3.4,7.6,.442,0.7,2.0,.347,2.7,5.7,.475,.487,1.3,1.7,.750,2.3,3.4,5.6,1.0,1.1,0.6,1.1,2.2,8.7
Anthony Edwards,SG,21,MIN,63,63,36.3,9.0,19.5,.460,2.7,7.3,.363,6.3,12.2,.518,.528,4.2,5.4,.776,0.6,5.3,5.9,4.5,1.7,0.7,3.4,2.5,24.7
Kessler Edwards,SF,22,TOT,16,1,5.8,0.4,1.8,.214,0.1,0.9,.143,0.3,0.9,.286,.250,0.1,0.1,.500,0.4,0.6,1.0,0.3,0.2,0.1,0.3,0.2,0.9
Kessler Edwards,SF,22,BRK,14,1,5.6,0.4,1.7,.250,0.1,0.9,.167,0.3,0.9,.333,.292,0.1,0.1,.500,0.4,0.6,1.0,0.1,0.2,0.1,0.3,0.2,1.1
Kessler Edwards,SF,22,SAC,2,0,7.0,0.0,2.0,.000,0.0,1.0,.000,0.0,1.0,.000,.000,0.0,0.0,,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Keon Ellis,SG,23,SAC,9,0,4.0,0.7,1.1,.600,0.6,0.9,.625,0.1,0.2,.500,.850,0.2,0.3,.667,0.3,0.4,0.8,0.3,0.2,0.1,0.1,0.7,2.1
Joel Embiid,C,28,PHI,48,48,35.1,10.9,20.6,.532,1.0,3.1,.338,9.9,17.5,.566,.557,10.1,11.7,.860,1.8,8.6,10.4,4.1,1.1,1.6,3.5,3.2,33.0
Drew Eubanks,C,25,POR,58,15,19.6,2.5,3.7,.681,0.1,0.1,.429,2.4,3.6,.689,.688,1.0,1.5,.659,1.7,3.3,5.0,1.2,0.5,1.2,0.8,2.2,6.0
Bruno Fernando,C,24,TOT,33,4,11.2,1.5,2.9,.521,0.0,0.0,.000,1.5,2.9,.526,.521,0.9,1.3,.682,1.5,2.3,3.8,0.9,0.2,0.9,0.7,2.1,3.9
Bruno Fernando,C,24,HOU,31,4,11.7,1.5,3.0,.516,0.0,0.0,.000,1.5,3.0,.522,.516,1.0,1.4,.682,1.5,2.4,3.9,1.0,0.2,1.0,0.6,2.2,4.1
Bruno Fernando,C,24,ATL,2,0,3.0,1.0,1.5,.667,0.0,0.0,,1.0,1.5,.667,.667,0.0,0.0,,0.5,0.5,1.0,0.5,0.0,0.0,1.0,0.5,2.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dorian Finney-Smith,PF,29,TOT,46,46,31.8,3.1,7.7,.408,1.8,5.3,.342,1.3,2.4,.555,.525,0.7,1.0,.733,1.7,3.3,5.0,1.5,0.9,0.4,0.9,2.1,8.8
Dorian Finney-Smith,PF,29,DAL,40,40,32.2,3.2,7.8,.416,1.9,5.4,.355,1.3,2.3,.559,.540,0.8,1.0,.750,1.7,3.0,4.7,1.5,1.0,0.5,0.9,2.0,9.1
Dorian Finney-Smith,PF,29,BRK,6,6,29.3,2.5,7.2,.349,1.0,4.3,.231,1.5,2.8,.529,.419,0.5,0.8,.600,1.8,4.8,6.7,1.3,0.3,0.0,1.0,2.8,6.5
Malachi Flynn,PG,24,TOR,43,1,13.7,1.7,4.7,.370,1.0,2.6,.378,0.7,2.1,.360,.475,0.4,0.6,.708,0.3,1.2,1.5,1.5,0.4,0.1,0.4,1.3,4.8
Simone Fontecchio,SF,27,UTA,33,0,9.9,1.3,3.6,.350,0.8,2.5,.305,0.5,1.2,.447,.454,0.5,0.7,.773,0.5,0.6,1.1,0.5,0.2,0.2,0.5,1.0,3.8
Bryn Forbes,SG,29,MIN,25,0,10.7,1.2,3.3,.361,0.6,1.8,.304,0.6,1.5,.432,.446,0.6,0.6,1.000,0.2,0.4,0.6,0.7,0.3,0.1,0.5,0.9,3.6
Trent Forrest,PG,24,ATL,18,3,13.3,1.3,2.8,.480,0.0,0.1,.000,1.3,2.7,.500,.480,0.1,0.2,.667,0.3,1.3,1.6,1.7,0.3,0.1,0.6,0.9,2.8
Michael Foster Jr.,PF,20,PHI,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Evan Fournier,SG,30,NYK,23,7,18.0,2.3,6.6,.351,1.4,4.4,.324,0.9,2.1,.408,.460,0.8,0.9,.857,0.2,1.8,2.0,1.5,0.6,0.1,0.8,1.9,6.8
De'Aaron Fox,PG,25,SAC,55,55,34.1,9.4,18.3,.515,1.6,4.8,.331,7.9,13.5,.581,.559,4.9,6.3,.786,0.5,3.8,4.3,6.3,1.1,0.3,2.7,2.5,25.4
Markelle Fultz,PG,24,ORL,41,41,29.2,5.4,10.9,.500,0.4,1.3,.309,5.0,9.5,.527,.519,1.9,2.4,.786,1.3,2.8,4.0,5.5,1.5,0.4,2.3,2.0,13.2
Wenyen Gabriel,PF,25,LAL,47,2,15.2,2.6,4.2,.617,0.2,0.6,.300,2.4,3.5,.675,.640,0.8,1.3,.623,1.6,2.2,3.8,0.5,0.3,0.5,0.7,2.2,6.1
Daniel Gafford,C,24,WAS,58,27,18.8,3.4,4.6,.747,0.0,0.0,,3.4,4.6,.747,.747,1.6,2.4,.641,2.0,3.4,5.3,0.9,0.4,1.3,1.0,2.3,8.4
Darius Garland,PG,23,CLE,54,54,35.1,7.5,16.1,.468,2.6,6.1,.421,5.0,10.0,.496,.547,4.3,4.9,.868,0.4,2.2,2.6,7.9,1.3,0.1,2.9,2.1,21.9
Usman Garuba,PF,20,HOU,53,1,13.5,1.2,2.3,.532,0.3,0.6,.485,0.9,1.7,.549,.597,0.4,0.7,.528,1.6,2.8,4.4,0.9,0.7,0.5,0.6,1.7,3.2
Luka Garza,C,24,MIN,23,0,9.1,2.3,4.4,.529,0.6,1.6,.361,1.8,2.9,.621,.593,1.7,2.1,.792,1.3,1.2,2.4,0.6,0.1,0.0,0.4,1.5,6.9
Rudy Gay,PF,36,UTA,46,0,14.5,1.8,4.8,.378,0.5,2.2,.232,1.3,2.7,.496,.430,0.7,0.8,.857,0.6,2.3,2.9,0.9,0.3,0.3,0.6,1.2,4.8
Paul George,SG,32,LAC,46,46,34.4,8.1,17.5,.461,2.9,7.7,.384,5.1,9.8,.522,.545,4.4,5.0,.875,0.7,5.4,6.1,5.2,1.4,0.4,3.3,2.7,23.5
Taj Gibson,C,37,WAS,38,2,10.0,1.4,2.6,.535,0.1,0.4,.235,1.3,2.2,.598,.556,0.6,0.9,.676,0.7,1.3,2.0,0.8,0.3,0.3,0.5,1.9,3.5
Josh Giddey,SG,20,OKC,55,55,30.9,7.0,14.5,.484,0.9,2.9,.309,6.1,11.5,.528,.515,1.3,1.7,.769,2.0,5.8,7.7,5.8,0.8,0.5,3.0,2.1,16.2
Shai Gilgeous-Alexander,PG,24,OKC,54,54,35.5,10.2,20.2,.507,0.9,2.6,.338,9.4,17.6,.532,.528,9.6,10.6,.908,0.9,3.9,4.7,5.7,1.6,1.1,2.9,2.7,31.0
Anthony Gill,PF,30,WAS,42,4,10.0,1.2,2.0,.607,0.1,0.5,.158,1.1,1.5,.738,.625,0.6,0.8,.771,0.5,0.8,1.4,0.5,0.1,0.2,0.2,1.2,3.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rudy Gobert,C,30,MIN,51,51,30.5,5.1,7.6,.679,0.0,0.1,.000,5.1,7.5,.684,.679,3.1,4.6,.671,3.2,8.4,11.6,0.9,0.8,1.3,1.7,2.9,13.4
Jordan Goodwin,PG,24,WAS,41,4,18.1,2.4,5.3,.449,0.6,1.7,.382,1.7,3.6,.480,.509,0.8,1.1,.750,0.9,2.4,3.3,2.5,1.0,0.5,0.9,1.7,6.2
Aaron Gordon,PF,27,DEN,50,50,30.2,6.5,11.2,.583,1.0,2.6,.382,5.5,8.6,.645,.628,3.0,4.9,.623,2.4,4.5,6.8,2.9,0.8,0.8,1.6,1.9,17.1
Eric Gordon,SG,34,TOT,51,47,29.6,4.3,9.8,.434,1.8,5.0,.350,2.5,4.8,.523,.524,2.3,2.8,.821,0.3,1.8,2.1,2.9,0.6,0.4,1.7,1.0,12.6
Eric Gordon,SG,34,HOU,47,47,30.2,4.5,10.2,.439,1.8,5.2,.347,2.7,5.0,.536,.528,2.3,2.9,.815,0.3,1.8,2.1,2.9,0.6,0.4,1.8,1.0,13.1
Eric Gordon,SG,34,LAC,4,0,23.3,1.8,5.5,.318,1.3,3.0,.417,0.5,2.5,.200,.432,2.3,2.5,.900,0.3,1.8,2.0,3.5,0.8,0.8,0.5,1.5,7.0
Devonte' Graham,PG,27,TOT,59,1,16.6,1.9,5.2,.362,1.4,4.1,.343,0.5,1.1,.435,.498,1.0,1.3,.747,0.3,1.2,1.5,2.4,0.6,0.2,0.5,0.9,6.1
Devonte' Graham,PG,27,NOP,53,0,15.3,1.6,4.4,.368,1.2,3.6,.347,0.4,0.8,.463,.511,0.8,1.1,.746,0.2,1.1,1.4,2.2,0.6,0.2,0.5,0.9,5.3
Devonte' Graham,PG,27,SAS,6,1,28.2,4.2,12.2,.342,2.8,8.7,.327,1.3,3.5,.381,.459,2.5,3.3,.750,0.8,1.7,2.5,4.7,0.8,0.7,0.8,1.3,13.7
Jerami Grant,PF,28,POR,55,55,35.6,7.1,14.6,.484,2.3,5.5,.407,4.8,9.0,.532,.562,4.3,5.3,.807,0.9,3.5,4.3,2.3,0.8,0.8,1.8,2.4,20.6
A.J. Green,SG,23,MIL,27,0,9.7,1.6,3.6,.449,1.3,3.0,.427,0.3,0.6,.563,.628,0.1,0.1,1.000,0.1,0.9,1.1,0.6,0.2,0.0,0.3,1.0,4.7
Danny Green,SG,35,TOT,6,0,11.8,1.0,3.2,.316,1.0,2.5,.400,0.0,0.7,.000,.474,0.2,0.2,1.000,0.2,0.7,0.8,0.3,0.3,0.2,0.8,1.5,3.2
Danny Green,SG,35,MEM,3,0,14.3,1.0,3.7,.273,1.0,2.7,.375,0.0,1.0,.000,.409,0.0,0.0,,0.3,1.0,1.3,0.7,0.3,0.0,1.0,2.0,3.0
Danny Green,SG,35,CLE,3,0,9.3,1.0,2.7,.375,1.0,2.3,.429,0.0,0.3,.000,.563,0.3,0.3,1.000,0.0,0.3,0.3,0.0,0.3,0.3,0.7,1.0,3.3
Draymond Green,PF,32,GSW,53,53,31.5,3.2,6.2,.517,0.6,1.8,.330,2.6,4.4,.594,.565,1.1,1.5,.700,0.9,6.5,7.4,6.8,1.0,0.8,2.6,3.0,8.1
Jalen Green,SG,20,HOU,54,54,33.9,7.3,17.8,.409,2.5,7.6,.333,4.7,10.1,.467,.481,4.7,5.9,.788,0.6,3.4,4.0,3.6,0.8,0.2,2.9,1.7,21.8
JaMychal Green,PF,32,GSW,41,1,14.7,2.4,4.6,.516,0.7,2.0,.349,1.7,2.6,.645,.592,0.9,1.2,.714,1.3,2.6,3.9,1.0,0.5,0.3,1.1,2.0,6.3
Javonte Green,SG,29,CHI,28,1,16.0,2.2,3.7,.587,0.5,1.2,.382,1.7,2.5,.686,.649,1.0,1.5,.674,0.9,2.0,2.9,0.8,0.8,0.7,0.7,1.7,5.9
Jeff Green,PF,36,DEN,39,3,19.4,3.1,6.2,.498,0.4,1.7,.250,2.6,4.4,.595,.533,1.5,2.1,.707,0.7,1.8,2.5,1.2,0.4,0.3,0.9,1.9,8.1
Josh Green,SG,22,DAL,42,10,24.7,3.3,6.1,.543,1.2,2.9,.421,2.1,3.2,.652,.643,1.4,2.0,.714,0.9,1.8,2.7,1.6,0.8,0.1,1.0,2.6,9.3
AJ Griffin,SF,19,ATL,57,11,20.2,3.6,7.6,.475,1.5,3.7,.392,2.2,3.9,.554,.570,0.5,0.6,.875,0.5,1.6,2.1,1.0,0.7,0.1,0.6,1.2,9.2
Blake Griffin,C,33,BOS,27,12,14.1,1.7,3.5,.500,0.7,1.8,.388,1.0,1.7,.622,.601,0.6,0.9,.625,0.9,2.4,3.3,1.3,0.3,0.2,0.5,1.9,4.7
Quentin Grimes,SG,22,NYK,52,47,29.7,3.5,7.9,.444,1.8,5.2,.351,1.7,2.7,.620,.559,1.1,1.3,.800,0.8,2.5,3.3,1.9,0.6,0.4,1.0,2.5,9.9
Rui Hachimura,PF,24,TOT,43,8,24.5,4.9,10.1,.480,0.9,2.7,.322,4.0,7.4,.539,.524,1.6,2.2,.716,0.8,3.8,4.6,1.0,0.3,0.3,1.0,1.1,12.2
Rui Hachimura,PF,24,WAS,30,0,24.3,5.3,10.8,.488,1.0,3.0,.337,4.3,7.8,.545,.534,1.5,1.9,.759,0.6,3.6,4.3,1.2,0.4,0.4,1.2,1.3,13.0
Rui Hachimura,PF,24,LAL,13,8,24.9,3.9,8.5,.459,0.6,2.2,.276,3.3,6.3,.524,.495,1.8,2.8,.649,1.3,4.1,5.4,0.6,0.3,0.2,0.5,0.6,10.3
Tyrese Haliburton,PG,22,IND,50,50,33.6,7.1,14.8,.482,2.9,7.2,.399,4.3,7.7,.559,.578,2.7,3.1,.865,0.6,3.0,3.7,10.2,1.7,0.4,2.6,1.2,19.8
Jordan Hall,SF,21,SAS,9,0,9.2,1.0,3.1,.321,0.3,1.7,.200,0.7,1.4,.462,.375,0.8,1.0,.778,0.3,1.0,1.3,1.2,0.1,0.0,0.8,0.7,3.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R.J. Hampton,PG,21,TOT,28,0,13.9,1.8,4.3,.425,0.6,2.0,.321,1.2,2.3,.516,.500,1.1,1.3,.838,0.3,1.3,1.6,1.3,0.6,0.2,0.8,0.8,5.4
R.J. Hampton,PG,21,ORL,26,0,13.9,1.9,4.4,.439,0.7,2.0,.340,1.2,2.3,.525,.518,1.2,1.4,.838,0.3,1.2,1.5,1.3,0.6,0.2,0.8,0.8,5.7
R.J. Hampton,PG,21,DET,2,0,14.0,0.5,3.0,.167,0.0,1.5,.000,0.5,1.5,.333,.167,0.0,0.0,,0.0,2.5,2.5,0.5,1.0,0.5,0.5,0.5,1.0
Tim Hardaway Jr.,SG,30,DAL,56,37,30.1,4.7,12.3,.380,2.9,7.9,.360,1.8,4.3,.417,.497,1.8,2.3,.756,0.3,3.3,3.6,1.7,0.7,0.1,0.9,1.6,13.9
James Harden,PG,33,PHI,44,44,36.7,6.5,14.5,.450,2.9,7.3,.393,3.7,7.3,.508,.548,5.6,6.5,.864,0.5,5.6,6.2,10.7,1.3,0.6,3.4,2.0,21.6
Jaden Hardy,SG,20,DAL,32,0,11.6,2.2,5.1,.423,0.8,2.3,.342,1.4,2.8,.489,.500,1.3,1.5,.875,0.1,1.3,1.3,0.8,0.3,0.1,0.8,1.3,6.4
Ron Harper Jr.,SF,22,TOR,4,0,3.5,1.0,1.8,.571,0.5,1.0,.500,0.5,0.8,.667,.714,0.0,0.0,,0.3,0.3,0.5,0.0,0.0,0.0,0.0,0.0,2.5
Montrezl Harrell,C,29,PHI,50,7,12.5,2.2,3.7,.605,0.0,0.0,.000,2.2,3.7,.612,.605,1.2,1.7,.694,1.2,1.6,2.8,0.6,0.3,0.5,0.6,1.5,5.7
Gary Harris,SG,28,ORL,33,27,24.8,3.0,6.3,.471,1.9,4.2,.446,1.1,2.1,.522,.620,0.8,0.8,.893,0.5,1.6,2.1,1.2,0.9,0.2,0.7,2.0,8.6
Joe Harris,SG,31,BRK,53,32,23.5,3.0,6.7,.456,2.0,4.8,.413,1.1,1.9,.566,.605,0.3,0.5,.625,0.4,2.2,2.5,1.6,0.5,0.2,0.7,2.4,8.3
Kevon Harris,SG,25,ORL,27,0,12.4,1.2,2.9,.416,0.4,1.0,.393,0.8,1.8,.429,.487,0.8,1.0,.815,0.9,1.1,2.0,0.4,0.5,0.1,0.6,1.3,3.6
Tobias Harris,PF,30,PHI,56,56,33.7,6.1,12.2,.498,1.8,4.7,.380,4.3,7.5,.572,.571,1.4,1.6,.856,0.9,4.9,5.8,2.5,1.0,0.5,1.3,2.0,15.3
Josh Hart,SF-SG,27,TOT,57,51,32.7,3.7,7.2,.517,0.8,2.3,.351,2.9,4.9,.594,.573,1.7,2.4,.731,1.8,6.1,7.9,3.8,1.1,0.2,1.5,2.6,10.0
Josh Hart,SF,27,POR,51,51,33.4,3.6,7.1,.504,0.7,2.2,.304,2.9,4.9,.594,.551,1.7,2.3,.731,1.9,6.3,8.2,3.9,1.1,0.2,1.5,2.6,9.5
Josh Hart,SG,27,NYK,6,0,26.3,5.0,8.2,.612,2.0,3.2,.632,3.0,5.0,.600,.735,1.8,2.5,.733,1.5,3.8,5.3,3.2,1.2,0.5,1.2,2.2,13.8
Isaiah Hartenstein,C,24,NYK,63,7,19.6,2.2,4.1,.521,0.1,0.5,.235,2.0,3.6,.564,.536,0.6,0.8,.755,2.8,3.8,6.6,0.9,0.6,0.8,0.8,2.6,5.1
Udonis Haslem,C,42,MIA,6,1,7.7,0.2,2.0,.083,0.0,0.3,.000,0.2,1.7,.100,.083,0.2,0.3,.500,0.7,0.7,1.3,0.0,0.2,0.2,0.0,1.3,0.5
Sam Hauser,PF,25,BOS,60,4,15.6,2.2,4.8,.455,1.7,4.0,.414,0.5,0.8,.653,.627,0.2,0.3,.667,0.5,2.1,2.5,0.7,0.3,0.3,0.3,1.3,6.2
Jaxson Hayes,C,22,NOP,35,2,13.3,1.8,3.4,.534,0.1,0.7,.115,1.7,2.6,.652,.547,1.2,1.7,.672,0.9,2.1,2.9,0.7,0.5,0.3,0.6,1.4,4.9
Killian Hayes,PG,21,DET,58,39,27.1,3.8,10.2,.369,1.2,3.8,.300,2.6,6.3,.410,.426,0.8,1.0,.817,0.3,2.4,2.7,5.9,1.3,0.4,2.0,3.0,9.5
Gordon Hayward,SF,32,CHO,37,37,31.3,5.5,11.6,.472,1.0,3.2,.319,4.4,8.4,.531,.516,2.6,3.2,.817,0.7,3.7,4.4,3.7,0.9,0.2,1.9,1.4,14.6
Juancho Hernangómez,PF,27,TOR,42,10,14.6,1.1,2.7,.421,0.4,1.6,.254,0.7,1.1,.660,.496,0.2,0.4,.563,0.6,2.3,2.9,0.6,0.4,0.1,0.4,1.0,2.9
Willy Hernangómez,C,28,NOP,30,0,12.8,2.6,4.8,.535,0.1,0.3,.200,2.5,4.5,.560,.542,2.4,3.0,.780,1.7,3.4,5.1,0.9,0.4,0.4,1.1,1.7,7.6
Tyler Herro,SG,23,MIA,48,48,35.4,7.4,17.1,.432,3.0,8.2,.371,4.4,8.9,.488,.521,2.6,2.9,.920,0.5,5.2,5.7,4.3,0.9,0.3,2.4,1.7,20.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buddy Hield,SF,30,IND,62,62,32.1,6.1,13.6,.452,3.8,9.0,.425,2.3,4.6,.507,.593,1.3,1.5,.860,0.8,4.1,4.9,2.7,1.2,0.3,1.8,2.0,17.4
Haywood Highsmith,SF,26,MIA,44,9,19.4,1.8,4.3,.426,0.8,2.3,.356,1.0,2.0,.506,.521,0.3,0.5,.458,1.0,2.7,3.7,0.7,0.8,0.3,0.8,1.6,4.8
George Hill,PG,36,TOT,36,0,18.8,1.6,3.7,.447,0.6,2.1,.311,1.0,1.6,.621,.534,0.9,1.3,.739,0.4,1.5,1.9,2.5,0.6,0.1,0.8,1.1,4.9
George Hill,PG,36,MIL,35,0,19.1,1.7,3.8,.447,0.7,2.1,.311,1.0,1.7,.621,.534,1.0,1.3,.739,0.4,1.5,1.9,2.5,0.5,0.1,0.8,1.2,5.0
George Hill,PG,36,IND,1,0,10.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Malcolm Hill,SF,27,CHI,5,0,1.8,0.4,0.8,.500,0.2,0.6,.333,0.2,0.2,1.000,.625,0.0,0.0,,0.0,0.6,0.6,0.0,0.0,0.0,0.0,0.2,1.0
Aaron Holiday,PG,26,ATL,51,5,14.3,1.5,3.7,.415,0.6,1.5,.413,0.9,2.2,.416,.497,0.5,0.5,.857,0.4,0.9,1.3,1.3,0.5,0.2,0.6,1.3,4.1
Jrue Holiday,PG,32,MIL,49,47,33.0,7.5,16.0,.469,2.5,6.4,.384,5.0,9.6,.526,.546,2.4,2.8,.859,1.2,4.0,5.2,7.1,1.3,0.4,3.0,1.9,19.8
Justin Holiday,SG,33,TOT,30,1,15.4,1.8,4.6,.401,1.2,3.3,.378,0.6,1.3,.462,.536,0.0,0.0,,0.1,0.8,0.8,0.9,0.2,0.4,0.4,1.4,4.9
Justin Holiday,SG,33,ATL,28,0,14.7,1.7,4.5,.384,1.1,3.1,.345,0.6,1.4,.474,.504,0.0,0.0,,0.1,0.8,0.8,0.9,0.2,0.4,0.4,1.3,4.5
Justin Holiday,SG,33,DAL,2,1,25.0,3.5,6.0,.583,3.5,5.5,.636,0.0,0.5,.000,.875,0.0,0.0,,0.0,1.0,1.0,1.0,1.0,1.5,0.0,2.5,10.5
Richaun Holmes,C,29,SAC,34,1,8.9,1.4,2.0,.681,0.1,0.1,.750,1.3,1.9,.677,.703,0.4,0.5,.824,0.7,1.4,2.1,0.1,0.1,0.3,0.4,1.3,3.3
